[2025-10-27 19:35:29,037: INFO: main: Loggign is implemented]
[2025-10-29 22:52:57,041: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-29 22:52:57,041: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-29 22:54:41,566: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-29 22:54:41,566: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-29 22:58:03,538: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-29 22:58:03,543: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-29 22:58:03,845: INFO: common: created directory at: artifacts]
[2025-10-29 22:58:03,854: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-29 22:58:09,054: INFO: 227420655: File is downloaded]
[2025-10-30 20:14:44,106: INFO: main: stage Data Ingestion stage initiated]
[2025-10-30 20:14:44,143: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-30 20:14:44,147: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-30 20:14:44,147: INFO: common: created directory at: artifacts]
[2025-10-30 20:14:44,156: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-30 20:14:48,870: INFO: data_ingestion: File is downloaded]
[2025-10-30 20:14:49,264: INFO: main: Stage Data Ingestion stage Completed]
[2025-10-30 20:48:41,448: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-30 20:48:41,775: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-30 20:48:41,775: INFO: common: created directory at: artifacts]
[2025-10-30 20:48:41,810: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-30 22:07:20,184: INFO: main: stage Data Ingestion stage initiated]
[2025-10-30 22:07:20,247: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-30 22:07:20,269: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-30 22:07:20,277: INFO: common: created directory at: artifacts]
[2025-10-30 22:07:20,286: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-30 22:07:20,296: INFO: data_ingestion: File already exits]
[2025-10-30 22:07:20,914: INFO: main: Stage Data Ingestion stage Completed]
[2025-10-30 22:07:20,945: INFO: main: stage Data Transformation stage initiated]
[2025-10-30 22:07:20,945: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-30 22:07:20,961: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-30 22:07:20,961: INFO: common: created directory at: artifacts]
[2025-10-30 22:07:20,966: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-30 22:07:31,468: INFO: main: Stage Data Transformation stage Completed]
